Year,Company,sentiment_score_positive,sentiment_score_negative,sentiment_score_polarity,sentiment_score_subjectivity,similarity_score,nlp_result
2019,HON,117.0,147.0,-0.11363636320592287,0.061986381765206294,0.8370710412706571,0
2019,IBM,0.0,0.0,0.0,0.0,0.7816654602712151,0
2019,JNJ,112.0,201.0,-0.28434504701487207,0.06333468230203669,0.9859057079396747,0
2019,JPM,1.0,0.0,0.9999990000010001,0.031249999023437534,0.9830367812705594,0
2019,KO,363.0,397.0,-0.04473684204639889,0.06256173855263733,0.9782359279068424,0
2019,MCD,497.0,597.0,-0.09140767816141893,0.06535635342222616,0.9740766582888348,0
2019,MMM,217.0,361.0,-0.2491349476658565,0.056705582256773704,0.28509034802823696,0
2019,MRK,291.0,395.0,-0.1516034983212777,0.060999466471545485,0.9704973765690101,0
2019,MSFT,103.0,107.0,-0.0190476189569161,0.03885291396135931,0.9944053380349613,0
2019,NKE,141.0,287.0,-0.34112149453008994,0.05501992543321507,0.9606810445294729,0
2019,NVDA,61.0,74.0,-0.09629629558299041,0.051213960526853584,0.9685274113157603,0
2019,PG,278.0,310.0,-0.054421768614928964,0.0616675406332808,0.9686953554229033,0
2019,SHW,128.0,174.0,-0.15231788029033816,0.06771300446912264,0.4015025611685894,0
2019,TRV,291.0,1563.0,-0.6860841420247658,0.09990300678414145,0.9725201808620704,0
2019,UNH,84.0,78.0,0.03703703680841335,0.052631578930269145,0.9936864635273506,0
2019,V,95.0,214.0,-0.385113267362093,0.0659551760798388,0.8263225281425441,0
2019,VZ,1.0,0.0,0.9999990000010001,0.033333332222222255,0.9706990794259536,0
2019,WMT,121.0,151.0,-0.11029411724156575,0.04939168330317928,0.9533788018332973,0
2020,AAPL,35.0,29.0,0.09374999853515628,0.044786563999449566,0.9564039546300549,0
2020,AMGN,124.0,173.0,-0.1649831644276661,0.05527638189925993,0.821962858920476,0
2020,AMZN,108.0,106.0,0.009345794348851428,0.05423213379264264,0.9734460131456574,0
2020,AXP,357.0,539.0,-0.20312499977329798,0.07026899850440993,0.9169584509705088,0
2020,BA,174.0,514.0,-0.49418604579333425,0.0744508170030894,0.8695562534969694,0
2020,CAT,338.0,278.0,0.09740259724447631,0.06997614448824535,0.7345811169405814,0
2020,CRM,139.0,147.0,-0.02797202787422368,0.05392156861728477,0.9410480239905752,0
2020,CSCO,82.0,249.0,-0.5045317205301156,0.062112966773857574,0.8689965028872157,0
2020,CVX,0.0,0.0,0.0,0.0,0.9785232396175957,0
2020,DIS,131.0,317.0,-0.41517857050183354,0.06619385341811557,0.9881009485785233,0
2020,GS,461.0,887.0,-0.31602373863796457,0.05973588584331579,0.9981619836455087,0
2020,HD,62.0,68.0,-0.046153845798816574,0.05280259949114436,0.8335904089869711,0
2020,HON,149.0,434.0,-0.4888507710311308,0.11014547513505658,0.7449460270294044,0
2020,IBM,0.0,0.0,0.0,0.0,0.9176098101125716,0
2020,JNJ,118.0,224.0,-0.3099415195615745,0.0643098909243494,0.8489943685492374,0
2020,JPM,1.0,0.0,0.9999990000010001,0.031249999023437534,0.9148076394569888,0
2020,KO,351.0,384.0,-0.04489795912258781,0.06884600973502754,0.9886076303024491,0
2020,MCD,458.0,629.0,-0.1573137073069791,0.0662885717730035,0.8977311917044826,0
2020,MMM,228.0,387.0,-0.258536584945469,0.05901544956731451,0.9934365096194399,0
2020,MRK,272.0,410.0,-0.2023460407590234,0.06083311033263463,0.9809833547180051,0
2020,MSFT,97.0,101.0,-0.0202020200999898,0.04325977713715102,0.9941282920390505,0
2020,NKE,131.0,218.0,-0.24928366690749665,0.04800550205667049,0.9698424543888131,0
2020,NVDA,64.0,81.0,-0.1172413785017836,0.044905543498016245,0.9482804359735563,0
2020,PG,270.0,292.0,-0.03914590740365497,0.060404127250601444,0.9927145380476284,0
2020,SHW,125.0,163.0,-0.131944443986304,0.06346408107900747,0.9802594558259964,0
2020,TRV,276.0,1617.0,-0.708399365711358,0.1055419268451415,0.9502228608140579,0
2020,UNH,88.0,89.0,-0.005649717482204986,0.04931735858196786,0.6334676564178982,0
2020,V,77.0,160.0,-0.3502109689864516,0.06012176558596607,0.9844997798574701,0
2020,VZ,266.0,296.0,-0.05338078282316587,0.05295392442731047,0.5048802198091054,0
2020,WMT,133.0,156.0,-0.07958477481112534,0.052053314111661864,0.9246892803467962,0
2021,AAPL,27.0,37.0,-0.15624999755859378,0.04769001486759313,0.9335961744559279,0
2021,AMGN,115.0,169.0,-0.19014084440091253,0.05136552721082193,0.985063264397005,0
2021,AMZN,98.0,99.0,-0.005076142106212477,0.05330086578644457,0.9921442680172592,0
2021,AXP,341.0,534.0,-0.22057142831934695,0.06791896296919049,0.9947353797726528,0
2021,BA,153.0,495.0,-0.5277777769633059,0.075052119518757,0.9900941452026055,0
